label,clients,repeat,rate,principal,constrained,completed,failed,qps,p50_ms,p95_ms,p99_ms,short_p99_ms,peak_rss,peak_container_sampled,container_lifetime_peak,cpu_seconds,spill_bytes,spill_active_after
arrival-25-baseline,32,0,25.0,user,True,96,32,18.600354333290383,86.0930789494887,121.69434304814786,125.68736798129976,14.794655027799308,305557504,285261824,287285248,18.549277,0.0,0.0
arrival-25-baseline,32,1,25.0,user,True,96,32,18.590960876652588,85.92286496423185,125.00985607039183,125.98516594152898,18.078914028592408,304562176,287899648,289239040,18.57466,0.0,0.0
arrival-25-baseline,32,2,25.0,user,True,96,32,18.590739992938342,83.97937100380659,122.9254660429433,127.16512207407504,17.670625005848706,307527680,291311616,294187008,18.475511,0.0,0.0
arrival-25-baseline,32,3,25.0,user,True,96,32,18.60990835024423,84.24789097625762,123.64462099503726,127.56562395952642,17.61694287415594,303153152,287014912,294187008,18.60164,0.0,0.0
arrival-25-baseline,32,4,25.0,user,True,96,32,18.615772510373258,85.50792303867638,121.81387899909168,125.72525010909885,16.03799592703581,303284224,286896128,294187008,18.526446,0.0,0.0
arrival-25-groups,32,0,25.0,user,True,128,0,24.69892185972349,70.07066800724715,147.87381805945188,152.35646604560316,14.552103006280959,320806912,302133248,303968256,22.537653,0.0,0.0
arrival-25-groups,32,1,25.0,user,True,128,0,24.698111710036095,71.20308000594378,150.09783394634724,152.47786103282124,13.49076407495886,324694016,306139136,308736000,22.444987,0.0,0.0
arrival-25-groups,32,2,25.0,user,True,128,0,24.726974240143445,70.61376806814224,150.90852708090097,153.4359591314569,16.814766102470458,333590528,316784640,318357504,22.588669,0.0,0.0
arrival-25-groups,32,3,25.0,user,True,128,0,24.70764204773596,72.89786403998733,147.61653903406113,149.5003130985424,14.043784001842141,328404992,312242176,318357504,22.384128,0.0,0.0
arrival-25-groups,32,4,25.0,user,True,128,0,24.703350048053434,68.19790590088814,149.9217259697616,153.43265200499445,14.474908937700093,315039744,298450944,318357504,22.420032,0.0,0.0
arrival-50-baseline,32,0,50.0,user,True,96,32,26.808728516961406,613.4163690730929,2225.884533021599,2760.059316060506,256.90744805615395,1453789184,1439137792,1468755968,20.215205,0.0,0.0
arrival-50-baseline,32,1,50.0,user,True,96,32,26.677563079846326,673.2193919597194,2429.0794149274006,2649.300124961883,245.26153795886785,1461944320,1448804352,1468755968,20.358152,0.0,0.0
arrival-50-baseline,32,2,50.0,user,True,96,32,26.598964551904487,672.2702129045501,2301.3590718619525,2655.197830987163,218.84401398710907,1418997760,1407021056,1468755968,20.540905,0.0,0.0
arrival-50-baseline,32,3,50.0,user,True,96,32,26.55117682803083,648.94449908752,2327.241759048775,2601.677192025818,316.78910308983177,1404706816,1393577984,1468755968,20.492203,0.0,0.0
arrival-50-baseline,32,4,50.0,user,True,96,32,26.735756919980577,652.4095190688968,2349.916464067064,2628.9731840370223,184.48153499048203,1564143616,1553502208,1561542656,20.410499,0.0,0.0
arrival-50-groups,32,0,50.0,user,True,128,0,30.649271040795632,718.2534879539162,2820.584603934549,3801.7568269278854,828.4931050147861,1454964736,1440534528,1475145728,23.779194,0.0,0.0
arrival-50-groups,32,1,50.0,user,True,128,0,30.791796351998176,867.5622210139409,2590.780026046559,3076.7740031005815,900.822596042417,1441746944,1430081536,1475145728,23.759248,0.0,0.0
arrival-50-groups,32,2,50.0,user,True,128,0,30.755993958664696,818.3904419420287,2900.9967879392207,3567.542362958193,873.9779189927503,1579462656,1568092160,1572286464,23.786716,0.0,0.0
arrival-50-groups,32,3,50.0,user,True,128,0,30.794369464402646,889.9311078712344,2406.978302053176,3373.053280985914,814.6676770411432,1514987520,1504104448,1572286464,23.880016,0.0,0.0
arrival-50-groups,32,4,50.0,user,True,128,0,30.979061409898957,846.5693250764161,2882.076876005158,3450.976407970302,879.370098002255,1532780544,1520803840,1572286464,23.642532,0.0,0.0
confirm-0-baseline-normal,1,0,0.0,user,False,128,0,20.53727078204361,39.09014293458313,99.42922298796475,100.98019998986274,6.681684986688197,378400768,360009728,360796160,23.466889,0.0,0.0
confirm-0-baseline-normal,4,0,0.0,user,False,128,0,30.239348046806075,139.6760200150311,251.2925179908052,279.3328419793397,28.603123035281897,748777472,733868032,740028416,23.046667,0.0,0.0
confirm-0-baseline-normal,8,0,0.0,user,False,128,0,31.821729255140163,288.8803120004013,465.8802920021117,495.55493297521025,33.21268002036959,1248137216,1235353600,1335259136,23.090467,0.0,0.0
confirm-0-baseline-normal,16,0,0.0,user,False,128,0,32.08068394623315,437.03358399216086,1067.8617570083588,1678.1565200071782,49.79871597606689,2425573376,2415374336,2470944768,23.292336,0.0,0.0
confirm-0-baseline-normal,32,0,0.0,user,False,88,40,32.37042828919384,526.580163044855,2652.0543050719425,2693.615769036114,254.7697430709377,3684007936,3676708864,3752853504,15.790737,0.0,0.0
confirm-0-baseline-tight,1,0,0.0,user,True,96,32,16.7957192727891,59.67284890357405,109.930370002985,111.96495406329632,6.214813096448779,238063616,218042368,224649216,18.380225,0.0,0.0
confirm-0-baseline-tight,4,0,0.0,user,True,96,32,25.40794081960236,208.71234498918056,245.94533198978752,253.5893499152735,16.43094897735864,486002688,468402176,476270592,19.863842,0.0,0.0
confirm-0-baseline-tight,8,0,0.0,user,True,96,32,26.816330364500345,387.0137761114165,490.7197280554101,557.0396350231022,27.271580998785794,645722112,630595584,667389952,20.18136,0.0,0.0
confirm-0-baseline-tight,16,0,0.0,user,True,96,32,27.057671897212185,622.7694519329816,1209.9122690269724,1375.0526350922883,52.67249699681997,971870208,958488576,967217152,20.46093,0.0,0.0
confirm-0-baseline-tight,32,0,0.0,user,True,96,32,26.96634503771411,800.2132279798388,3150.2986169653013,3545.894685899839,322.429702966474,1561608192,1549717504,1595875328,20.529131,0.0,0.0
confirm-0-groups-normal,1,0,0.0,user,False,128,0,20.911944661784183,37.8985790302977,96.9767039641738,98.79418404307216,6.522184005007148,384712704,365932544,367243264,22.933945,0.0,0.0
confirm-0-groups-normal,4,0,0.0,user,False,128,0,30.68285083674697,136.82594802230597,244.5811489596963,260.21037600003183,22.740497021004558,731803648,716296192,746401792,22.913049,0.0,0.0
confirm-0-groups-normal,8,0,0.0,user,False,128,0,32.135383309004936,280.1884689833969,459.1317190788686,478.3714320510626,32.38460794091225,1361518592,1348325376,1425149952,22.804824,0.0,0.0
confirm-0-groups-normal,16,0,0.0,user,False,128,0,32.33281246974055,457.80370000284165,1186.2181599717587,1592.986693023704,55.10208895429969,2414878720,2403614720,2405187584,23.054381,0.0,0.0
confirm-0-groups-normal,32,0,0.0,user,False,128,0,32.40764686173384,576.1865630047396,3820.1444689184427,3897.98443892505,244.73611009307206,3674759168,3667927040,3713630208,23.1616,0.0,0.0
confirm-0-groups-tight,1,0,0.0,user,True,128,0,19.149207382164576,38.86647603940219,106.49157001171261,108.68979303631932,6.689648027531803,231190528,211841024,217784320,21.59316,0.0,0.0
confirm-0-groups-tight,4,0,0.0,user,True,128,0,28.944831827029848,98.17999601364136,258.35163600277156,277.65099599491805,21.401782985776663,479465472,462462976,470130688,23.343473,0.0,0.0
confirm-0-groups-tight,8,0,0.0,user,True,128,0,30.475548174836437,242.55812400951982,533.2366588991135,560.1991140283644,29.79607996530831,638128128,622940160,668684288,23.639655,0.0,0.0
confirm-0-groups-tight,16,0,0.0,user,True,128,0,30.995221196396404,461.50529105216265,1233.1625280203298,1410.943481954746,40.318979998119175,1011130368,997912576,1002930176,23.802069,0.0,0.0
confirm-0-groups-tight,32,0,0.0,user,True,128,0,30.942510307192325,583.9976069983095,2864.2331949668005,4038.176201051101,285.25325399823487,1505308672,1493237760,1547739136,23.770107,0.0,0.0
confirm-1-baseline-normal,1,0,0.0,user,False,128,0,20.614643574899517,38.708084961399436,99.55526294652373,101.17503709625453,6.608682917430997,387055616,368328704,368328704,23.3682,0.0,0.0
confirm-1-baseline-normal,4,0,0.0,user,False,128,0,30.30904143837493,140.35993698053062,248.29738901462406,274.84700200147927,21.717177936807275,744419328,728072192,738865152,23.207221,0.0,0.0
confirm-1-baseline-normal,8,0,0.0,user,False,128,0,31.601307624459725,268.73736293055117,486.58302903641015,538.9404370216653,33.987149014137685,1450278912,1437024256,1456685056,23.344585,0.0,0.0
confirm-1-baseline-normal,16,0,0.0,user,False,128,0,31.98392742908522,481.3329561147839,1165.1494590332732,1348.6516029806808,49.202649970538914,2725818368,2715156480,2715156480,23.210454,0.0,0.0
confirm-1-baseline-normal,32,0,0.0,user,False,82,46,31.593637493953185,520.2879270073026,2469.560874043964,2575.374127016403,115.35726499278098,3781173248,3773444096,3798282240,15.185263,0.0,0.0
confirm-1-baseline-tight,1,0,0.0,user,True,96,32,16.81427509504993,59.98107697814703,109.42916199564934,111.93550797179341,6.34565600194037,228880384,209895424,215314432,18.293913,0.0,0.0
confirm-1-baseline-tight,4,0,0.0,user,True,96,32,24.960537572304336,212.36674301326275,256.14478695206344,276.01472300011665,18.579632975161076,467648512,450166784,460419072,20.023883,0.0,0.0
confirm-1-baseline-tight,8,0,0.0,user,True,96,32,26.583004965199542,385.6521750567481,494.46008494123816,513.7570520164445,28.36289000697434,684195840,669093888,673439744,20.192828,0.0,0.0
confirm-1-baseline-tight,16,0,0.0,user,True,96,32,27.125671027140754,662.8098640358075,1168.7626549974084,1662.5090970192105,52.84538201522082,1057730560,1044217856,1056817152,20.335121,0.0,0.0
